Session,Sample,Sample_Id,Label,Label_Id,PlayCount,Time
4,2018,static/images/2018_1.jpg,smopeagen,static/audios/google_synth/smopeagen_3.wav,3,5.333
4,2029,static/images/2029_6.jpg,heabcoodle,static/audios/ibm_synth/heabcoodle_3.wav,9,16.249
4,2056,static/images/2056_4.jpg,sibupoip,static/audios/ibm_synth/sibupoip_1.wav,9,18.218
4,2060,static/images/2060_0.jpg,fiffinsount,static/audios/ibm_synth/fiffinsount_1.wav,7,13.865
4,2054,static/images/2054_9.jpg,jutulverff,static/audios/google_synth/jutulverff_2.wav,13,21.53
1,2002,static/images/2002_8.jpg,tustkaki,static/audios/google_synth/tustkaki_0.wav,2,12.594
1,2055,static/images/2055_4.jpg,agenkrat,static/audios/google_synth/agenkrat_5.wav,6,9.294
1,2048,static/images/2048_0.jpg,ciopjuff,static/audios/ibm_synth/ciopjuff_3.wav,6,9.478
1,2024,static/images/2024_6.jpg,sarnipis,static/audios/google_synth/sarnipis_0.wav,16,27.689
1,2025,static/images/2025_4.jpg,noshillop,static/audios/ibm_synth/noshillop_0.wav,3,11.736
1,2004,static/images/2004_4.jpg,lopizerrt,static/audios/google_synth/lopizerrt_0.wav,15,26.91
1,2030,static/images/2030_4.jpg,zosipeb,static/audios/ibm_synth/zosipeb_3.wav,10,16.281
1,2023,static/images/2023_0.jpg,ratchipis,static/audios/google_synth/ratchipis_3.wav,11,18.548
1,2011,static/images/2011_1.jpg,quanmanu,static/audios/google_synth/quanmanu_3.wav,4,6.614
1,2051,static/images/2051_6.jpg,possosip,static/audios/ibm_synth/possosip_3.wav,5,7.559
6,2047,static/images/2047_1.jpg,poipmodi,static/audios/google_synth/poipmodi_1.wav,10,12.671
6,2028,static/images/2028_3.jpg,juffmodi,static/audios/google_synth/juffmodi_2.wav,6,12.952
6,2021,static/images/2021_6.jpg,tannindunch,static/audios/google_synth/tannindunch_5.wav,13,20.736
6,2010,static/images/2010_6.jpg,negacvack,static/audios/google_synth/negacvack_0.wav,5,6.098
6,2005,static/images/2005_5.jpg,gassprockser,static/audios/ibm_synth/gassprockser_2.wav,7,10.82
6,2006,static/images/2006_5.jpg,jickmanu,static/audios/ibm_synth/jickmanu_0.wav,4,12.091
6,2064,static/images/2064_4.jpg,edbinker,static/audios/microsoft_synth/edbinker_1.wav,8,12.64
6,2037,static/images/2037_6.jpg,tulverdax,static/audios/google_synth/tulverdax_1.wav,6,10.168
6,2038,static/images/2038_7.jpg,blicketfoom,static/audios/microsoft_synth/blicketfoom_0.wav,2,3.873
6,2013,static/images/2013_1.jpg,foteratch,static/audios/google_synth/foteratch_0.wav,2,3.916
6,2013,static/images/2013_0.jpg,foteratch,static/audios/microsoft_synth/foteratch_1.wav,2,3.785
6,2028,static/images/2028_7.jpg,juffmodi,static/audios/ibm_synth/juffmodi_0.wav,1,2.607
6,2010,static/images/2010_8.jpg,negacvack,static/audios/ibm_synth/negacvack_3.wav,1,2.448
6,2021,static/images/2021_4.jpg,tannindunch,static/audios/google_synth/tannindunch_4.wav,1,1.973
6,2006,static/images/2006_3.jpg,jickmanu,static/audios/google_synth/jickmanu_3.wav,5,6.015
