Session,Sample,Sample_Id,Label,Label_Id,PlayCount,Time
0,pFa1,static/practiceimages/pFa1_2.jpg,tumanunk,static/audios/practice_synth/tumanunk_2.wav,1,2.081
0,pFb1,static/practiceimages/pFb1_4.jpg,totunkma,static/audios/practice_synth/totunkma_3.wav,1,1.735
0,pFc1,static/practiceimages/pFc1_5.jpg,ederkoob,static/audios/practice_synth/ederkoob_0.wav,1,1.513
0,pFa1,static/practiceimages/pFa1_5.jpg,tumanunk,static/audios/practice_synth/tumanunk_0.wav,0,0.909
0,pFb1,static/practiceimages/pFb1_3.jpg,totunkma,static/audios/practice_synth/totunkma_2.wav,0,0.418
0,pFc1,static/practiceimages/pFc1_0.jpg,ederkoob,static/audios/practice_synth/ederkoob_3.wav,0,0.56
2,2046,static/images/2046_0.jpg,aneddite,static/audios/ibm_synth/aneddite_2.wav,4,9.392
2,2034,static/images/2034_1.jpg,pentzebants,static/audios/google_synth/pentzebants_3.wav,2,5.874
2,2057,static/images/2057_3.jpg,wilpakar,static/audios/google_synth/wilpakar_2.wav,2,7.372
2,2063,static/images/2063_6.jpg,negahux,static/audios/ibm_synth/negahux_3.wav,2,4.899
2,2032,static/images/2032_2.jpg,wisorel,static/audios/ibm_synth/wisorel_1.wav,2,3.766
2,2035,static/images/2035_2.jpg,leheacham,static/audios/microsoft_synth/leheacham_1.wav,2,3.955
2,2058,static/images/2058_4.jpg,ipisdoff,static/audios/ibm_synth/ipisdoff_0.wav,2,5.312
2,2007,static/images/2007_5.jpg,janggasser,static/audios/ibm_synth/janggasser_0.wav,2,5.869
2,2009,static/images/2009_0.jpg,roglarkak,static/audios/ibm_synth/roglarkak_1.wav,2,4.914
2,2050,static/images/2050_6.jpg,judpegree,static/audios/google_synth/judpegree_3.wav,1,3.779
2,2050,static/images/2050_4.jpg,judpegree,static/audios/google_synth/judpegree_1.wav,2,21.993
2,2007,static/images/2007_9.jpg,janggasser,static/audios/ibm_synth/janggasser_2.wav,0,1.172
2,2009,static/images/2009_1.jpg,roglarkak,static/audios/google_synth/roglarkak_0.wav,1,2.395
2,2032,static/images/2032_0.jpg,wisorel,static/audios/ibm_synth/wisorel_2.wav,1,2.336
2,2058,static/images/2058_7.jpg,ipisdoff,static/audios/ibm_synth/ipisdoff_3.wav,1,2.452
2,2046,static/images/2046_4.jpg,aneddite,static/audios/google_synth/aneddite_3.wav,1,2.393
2,2057,static/images/2057_8.jpg,wilpakar,static/audios/microsoft_synth/wilpakar_0.wav,1,2.477
2,2035,static/images/2035_5.jpg,leheacham,static/audios/google_synth/leheacham_5.wav,1,2.652
2,2063,static/images/2063_4.jpg,negahux,static/audios/ibm_synth/negahux_2.wav,1,2.052
2,2034,static/images/2034_5.jpg,pentzebants,static/audios/google_synth/pentzebants_0.wav,1,2.156
1,2011,static/images/2011_1.jpg,quanmanu,static/audios/google_synth/quanmanu_3.wav,2,9.804
1,2048,static/images/2048_0.jpg,ciopjuff,static/audios/ibm_synth/ciopjuff_3.wav,3,13.549
1,2024,static/images/2024_6.jpg,sarnipis,static/audios/google_synth/sarnipis_0.wav,2,7.129
1,2030,static/images/2030_4.jpg,zosipeb,static/audios/ibm_synth/zosipeb_3.wav,2,265.248
1,2055,static/images/2055_4.jpg,agenkrat,static/audios/google_synth/agenkrat_5.wav,3,8.045
1,2002,static/images/2002_8.jpg,tustkaki,static/audios/google_synth/tustkaki_0.wav,3,6.442
1,2023,static/images/2023_0.jpg,ratchipis,static/audios/google_synth/ratchipis_3.wav,2,4.595
1,2004,static/images/2004_4.jpg,lopizerrt,static/audios/google_synth/lopizerrt_0.wav,2,3.827
1,2025,static/images/2025_4.jpg,noshillop,static/audios/ibm_synth/noshillop_0.wav,3,7.858
1,2051,static/images/2051_6.jpg,possosip,static/audios/ibm_synth/possosip_3.wav,2,4.213
6,2028,static/images/2028_3.jpg,juffmodi,static/audios/google_synth/juffmodi_2.wav,3,8.104
6,2038,static/images/2038_7.jpg,blicketfoom,static/audios/microsoft_synth/blicketfoom_0.wav,4,11.71
6,2064,static/images/2064_4.jpg,edbinker,static/audios/microsoft_synth/edbinker_1.wav,2,4.727
6,2013,static/images/2013_1.jpg,foteratch,static/audios/google_synth/foteratch_0.wav,2,5.317
6,2005,static/images/2005_5.jpg,gassprockser,static/audios/ibm_synth/gassprockser_2.wav,2,5.491
6,2047,static/images/2047_1.jpg,poipmodi,static/audios/google_synth/poipmodi_1.wav,2,4.667
6,2037,static/images/2037_6.jpg,tulverdax,static/audios/google_synth/tulverdax_1.wav,1,2.912
6,2006,static/images/2006_5.jpg,jickmanu,static/audios/ibm_synth/jickmanu_0.wav,2,4.576
6,2010,static/images/2010_6.jpg,negacvack,static/audios/google_synth/negacvack_0.wav,2,3.476
6,2021,static/images/2021_6.jpg,tannindunch,static/audios/google_synth/tannindunch_5.wav,2,5.098
6,2006,static/images/2006_3.jpg,jickmanu,static/audios/google_synth/jickmanu_3.wav,1,1.316
