Session,Test_Phase,Sample,Sample_Id,Label,Label_Id,Response,Response_Id
0,i,agenkrat,static/audios/ibm_synth/agenkrat_3.wav,2055,static/images/2055_9.jpg,2055,static/images/2055_9.jpg
0,i,lopizerrt,static/audios/ibm_synth/lopizerrt_2.wav,2004,static/images/2004_8.jpg,2002,static/images/2002_9.jpg
0,i,possosip,static/audios/google_synth/possosip_1.wav,2051,static/images/2051_1.jpg,2051,static/images/2051_1.jpg
0,i,ciopjuff,static/audios/google_synth/ciopjuff_5.wav,2048,static/images/2048_9.jpg,2048,static/images/2048_9.jpg
0,i,tustkaki,static/audios/google_synth/tustkaki_2.wav,2002,static/images/2002_5.jpg,2011,static/images/2011_5.jpg
0,i,noshillop,static/audios/google_synth/noshillop_1.wav,2025,static/images/2025_6.jpg,2004,static/images/2004_0.jpg
0,i,sarnipis,static/audios/google_synth/sarnipis_1.wav,2024,static/images/2024_5.jpg,2025,static/images/2025_8.jpg
0,i,zosipeb,static/audios/microsoft_synth/zosipeb_0.wav,2030,static/images/2030_8.jpg,2011,static/images/2011_9.jpg
0,i,ratchipis,static/audios/microsoft_synth/ratchipis_1.wav,2023,static/images/2023_8.jpg,2023,static/images/2023_8.jpg
0,i,quanmanu,static/audios/microsoft_synth/quanmanu_0.wav,2011,static/images/2011_1.jpg,2051,static/images/2051_7.jpg
0,a,2025,static/images/2025_5.jpg,noshillop,static/audios/google_synth/noshillop_5.wav,sarnipis,static/audios/google_synth/sarnipis_3.wav
0,a,2024,static/images/2024_0.jpg,sarnipis,static/audios/google_synth/sarnipis_5.wav,lopizerrt,static/audios/google_synth/lopizerrt_4.wav
0,a,2023,static/images/2023_3.jpg,ratchipis,static/audios/ibm_synth/ratchipis_2.wav,tustkaki,static/audios/google_synth/tustkaki_0.wav
0,a,2002,static/images/2002_7.jpg,tustkaki,static/audios/microsoft_synth/tustkaki_1.wav,ciopjuff,static/audios/microsoft_synth/ciopjuff_1.wav
0,a,2051,static/images/2051_6.jpg,possosip,static/audios/google_synth/possosip_5.wav,quanmanu,static/audios/google_synth/quanmanu_5.wav
0,a,2004,static/images/2004_3.jpg,lopizerrt,static/audios/ibm_synth/lopizerrt_3.wav,lopizerrt,static/audios/ibm_synth/lopizerrt_3.wav
0,a,2011,static/images/2011_6.jpg,quanmanu,static/audios/ibm_synth/quanmanu_3.wav,possosip,static/audios/google_synth/possosip_3.wav
0,a,2055,static/images/2055_8.jpg,agenkrat,static/audios/google_synth/agenkrat_3.wav,agenkrat,static/audios/google_synth/agenkrat_3.wav
