Session,Sample,Sample_Id,Label,Label_Id,PlayCount,Time
3,2052,static/images/2052_6.jpg,yokzios,static/audios/google_synth/yokzios_2.wav,2,12.727
3,2001,static/images/2001_6.jpg,kakimense,static/audios/microsoft_synth/kakimense_0.wav,2,6.765
3,2061,static/images/2061_1.jpg,manukiv,static/audios/google_synth/manukiv_2.wav,1,5.992
3,2039,static/images/2039_8.jpg,osipfimp,static/audios/microsoft_synth/osipfimp_1.wav,2,7.645
3,2056,static/images/2056_4.jpg,sibupoip,static/audios/ibm_synth/sibupoip_1.wav,2,5.631
3,2018,static/images/2018_1.jpg,smopeagen,static/audios/google_synth/smopeagen_3.wav,2,5.94
3,2060,static/images/2060_0.jpg,fiffinsount,static/audios/ibm_synth/fiffinsount_1.wav,2,4.815
3,2041,static/images/2041_2.jpg,edervab,static/audios/google_synth/edervab_0.wav,2,5.692
3,2029,static/images/2029_6.jpg,heabcoodle,static/audios/ibm_synth/heabcoodle_3.wav,2,5.38
3,2054,static/images/2054_9.jpg,jutulverff,static/audios/google_synth/jutulverff_2.wav,2,5.506
0,2023,static/images/2023_0.jpg,ratchipis,static/audios/google_synth/ratchipis_3.wav,3,12.184
0,2011,static/images/2011_1.jpg,quanmanu,static/audios/google_synth/quanmanu_3.wav,3,9.277
0,2030,static/images/2030_4.jpg,zosipeb,static/audios/ibm_synth/zosipeb_3.wav,3,11.124
0,2004,static/images/2004_4.jpg,lopizerrt,static/audios/google_synth/lopizerrt_0.wav,3,10.635
0,2025,static/images/2025_4.jpg,noshillop,static/audios/ibm_synth/noshillop_0.wav,3,11.303
0,2002,static/images/2002_8.jpg,tustkaki,static/audios/google_synth/tustkaki_0.wav,3,6.948
0,2055,static/images/2055_4.jpg,agenkrat,static/audios/google_synth/agenkrat_5.wav,2,5.63
0,2051,static/images/2051_6.jpg,possosip,static/audios/ibm_synth/possosip_3.wav,3,8.878
0,2024,static/images/2024_6.jpg,sarnipis,static/audios/google_synth/sarnipis_0.wav,2,7.333
0,2048,static/images/2048_0.jpg,ciopjuff,static/audios/ibm_synth/ciopjuff_3.wav,4,12.514
2,2014,static/images/2014_6.jpg,culpblicket,static/audios/google_synth/culpblicket_2.wav,3,9.761
2,2012,static/images/2012_3.jpg,broosttever,static/audios/google_synth/broosttever_3.wav,2,7.497
2,2049,static/images/2049_8.jpg,akzebar,static/audios/microsoft_synth/akzebar_0.wav,2,10.146
2,2059,static/images/2059_9.jpg,egrenget,static/audios/google_synth/egrenget_0.wav,2,7.467
2,2019,static/images/2019_2.jpg,tufotest,static/audios/ibm_synth/tufotest_3.wav,2,8.472
2,2003,static/images/2003_0.jpg,updeldos,static/audios/google_synth/updeldos_3.wav,3,7.301
2,2017,static/images/2017_9.jpg,lerengam,static/audios/google_synth/lerengam_0.wav,4,13.004
2,2027,static/images/2027_9.jpg,kobatand,static/audios/ibm_synth/kobatand_0.wav,4,8.815
2,2026,static/images/2026_5.jpg,shillgazzer,static/audios/ibm_synth/shillgazzer_2.wav,2,6.042
