Session,Sample,Sample_Id,Label,Label_Id,PlayCount,Time
4,2042,static/images/2042_2.jpg,tanzerposk,static/audios/microsoft_synth/tanzerposk_1.wav,2,14.842
4,2044,static/images/2044_2.jpg,chattenjang,static/audios/google_synth/chattenjang_2.wav,2,10.622
4,2016,static/images/2016_6.jpg,wuptreda,static/audios/ibm_synth/wuptreda_2.wav,2,7.98
4,2015,static/images/2015_7.jpg,agtifeen,static/audios/google_synth/agtifeen_5.wav,2,10.694
4,2033,static/images/2033_4.jpg,gloopyosp,static/audios/ibm_synth/gloopyosp_3.wav,2,7.453
4,2045,static/images/2045_6.jpg,heacheder,static/audios/ibm_synth/heacheder_3.wav,2,7.494
4,2036,static/images/2036_5.jpg,pentantstri,static/audios/ibm_synth/pentantstri_1.wav,2,7.459
4,2062,static/images/2062_6.jpg,pizerpru,static/audios/google_synth/pizerpru_3.wav,2,7.244
4,2040,static/images/2040_4.jpg,teverpusp,static/audios/microsoft_synth/teverpusp_1.wav,3,8.237
4,2022,static/images/2022_6.jpg,fimppizer,static/audios/ibm_synth/fimppizer_0.wav,3,14.967
4,2045,static/images/2045_1.jpg,heacheder,static/audios/microsoft_synth/heacheder_1.wav,2,6.431
4,2016,static/images/2016_5.jpg,wuptreda,static/audios/microsoft_synth/wuptreda_1.wav,2,8.734
4,2040,static/images/2040_1.jpg,teverpusp,static/audios/ibm_synth/teverpusp_3.wav,2,7.772
4,2044,static/images/2044_6.jpg,chattenjang,static/audios/google_synth/chattenjang_5.wav,2,5.866
4,2033,static/images/2033_9.jpg,gloopyosp,static/audios/google_synth/gloopyosp_0.wav,2,4.774
4,2036,static/images/2036_7.jpg,pentantstri,static/audios/google_synth/pentantstri_1.wav,2,5.582
4,2015,static/images/2015_4.jpg,agtifeen,static/audios/google_synth/agtifeen_0.wav,2,5.81
4,2022,static/images/2022_3.jpg,fimppizer,static/audios/ibm_synth/fimppizer_2.wav,2,8.386
4,2062,static/images/2062_9.jpg,pizerpru,static/audios/google_synth/pizerpru_0.wav,2,4.899
4,2042,static/images/2042_7.jpg,tanzerposk,static/audios/google_synth/tanzerposk_0.wav,2,6.15
0,2025,static/images/2025_4.jpg,noshillop,static/audios/ibm_synth/noshillop_0.wav,3,11.292
0,2051,static/images/2051_6.jpg,possosip,static/audios/ibm_synth/possosip_3.wav,2,10.121
0,2024,static/images/2024_6.jpg,sarnipis,static/audios/google_synth/sarnipis_0.wav,3,11.227
0,2002,static/images/2002_8.jpg,tustkaki,static/audios/google_synth/tustkaki_0.wav,2,8.708
0,2023,static/images/2023_0.jpg,ratchipis,static/audios/google_synth/ratchipis_3.wav,2,9.615
0,2011,static/images/2011_1.jpg,quanmanu,static/audios/google_synth/quanmanu_3.wav,2,6.591
0,2030,static/images/2030_4.jpg,zosipeb,static/audios/ibm_synth/zosipeb_3.wav,2,5.62
0,2004,static/images/2004_4.jpg,lopizerrt,static/audios/google_synth/lopizerrt_0.wav,3,9.271
0,2055,static/images/2055_4.jpg,agenkrat,static/audios/google_synth/agenkrat_5.wav,3,7.719
0,2048,static/images/2048_0.jpg,ciopjuff,static/audios/ibm_synth/ciopjuff_3.wav,2,5.871
1,2057,static/images/2057_3.jpg,wilpakar,static/audios/google_synth/wilpakar_2.wav,3,11.064
1,2009,static/images/2009_0.jpg,roglarkak,static/audios/ibm_synth/roglarkak_1.wav,2,5.596
1,2046,static/images/2046_0.jpg,aneddite,static/audios/ibm_synth/aneddite_2.wav,3,21.59
1,2032,static/images/2032_2.jpg,wisorel,static/audios/ibm_synth/wisorel_1.wav,2,12.722
1,2007,static/images/2007_5.jpg,janggasser,static/audios/ibm_synth/janggasser_0.wav,3,12.561
1,2050,static/images/2050_6.jpg,judpegree,static/audios/google_synth/judpegree_3.wav,2,13.507
